title,ingredients,time,ratings,type,instructions
Tiramisù,"['Mascarpone', 'Uova', 'Savoiardi', 'Zucchero', 'Caffè', 'Cacao amaro in polvere']",46,4.2,Dolci,"Per preparare il tiramisù preparate il caffé con la moka per ottenerne 300 g, poi zuccherate a piacere (noi abbiamo messo un cucchiaino) e lasciatelo raffreddare in una ciotolina bassa e ampia. Separate le uova dividendo gli albumi dai tuorli 1 , ricordando che per montare bene gli albumi non dovranno presentare alcuna traccia di tuorlo. Montate i tuorli con le fruste elettriche, versando solo metà dose di zucchero 2 . Non appena il composto sarà diventato chiaro e spumoso, e con le fruste ancora in funzione, potrete aggiungere il mascarpone, poco alla volta 3 .
Incorporato tutto il formaggio avrete ottenuto una crema densa e compatta 4 ; tenetela da parte. Pulite molto bene le fruste e passate a montare gli albumi 5 . Quando saranno schiumosi versate il restante zucchero un po’ alla volta 6 .
Dovrete montarli a neve ben ferma 7 ; otterrete questo risultato quando rovesciando la ciotola la massa non si muoverà. Prendete una cucchiaiata di albumi e versatela nella ciotola con la crema di mascarpone 8 e mescolate energicamente con una spatola 8 , così stempererete il composto. Dopodiché procedete ad aggiungere la restante parte di albumi, poco alla volta mescolando molto delicatamente dal basso verso l'alto 9 .
La crema al mascarpone è ora pronta 10 . Distribuitene una generosa cucchiaiata sul fondo di una pirofila di vetro, grande 30x19,5cm e distribuite per bene su tutta la base. Inzuppate per pochi istanti i savoiardi nel caffè freddo prima da un lato e poi dall’altro 12 .
Man mano distribuite i savoiardi imbevuti nella pirofila, cercando di sistemarli tutti in un verso, così da ottenere un primo strato di biscotti 14 . Aggiungete altra crema al mascarpone e livellatela in modo da coprirli completamente 15 .
E continuate a distribuire i savoiardi imbevuti nel caffè 16 , poi realizzate un altro strato di crema 17 e livellate bene la superficie 18 .
Trasferite la crema rimasta in un sac-à-poche con beccuccio liscio di diametro 12 mm e realizzare dei ciuffetti per tutta la dimensione della teglia 19 . Spolverizzatela con del cacao amaro in polvere 20 e lasciate rassodare in frigorifero per un paio d’ore 21 . Il vostro tiramisù è pronto per essere gustato!"
Pancake allo sciroppo d'acero,"['Farina', 'Latte intero', 'Burro', 'Zucchero', 'Uova', 'Lievito in polvere per dolci', 'Sale', 'Sciroppo di acero']",35,4.2,Dolci,"Per realizzare i pancake per prima cosa fate sciogliere il burro a fuoco bassissimo, poi lasciate intiepidire. Intanto separate gli albumi dai tuorli: versate i tuorli in una ciotola e sbatteteli con una frusta a mano 1 , poi unite il burro fuso a temperatura ambiente 2 e il latte a filo 3 , continuando sempre a mescolare con la frusta. Aggiungete anche un pizzico di sale e montate il composto finché non risulterà chiaro.
Unite il lievito alla farina 4 e setacciate tutto nella ciotola con il composto di tuorli 5 . Mescolate ancora per incorporare le polveri 6 .
Ora montate gli albumi che avete tenuto da parte, versando poco alla volta lo zucchero 7 . Quando saranno bianchi e spumosi incorporateli delicatamente al composto di tuorli, con movimenti dal basso verso l'alto, per evitare di smontarli 8 . Scaldate a fuoco medio una crepiera o una padella antiaderente (meglio se a fondo spesso) e ungetela con pochissimo burro aiutandovi con della carta da cucina. Versate al centro del pentolino un mestolino di composto 9 .
Dopo circa 2 minuti inizieranno a comparire delle bollicine in superficie, quindi girate il pancake con una spatolina 10 e fate dorare anche l'altro lato per circa mezzo minuto 11 . Proseguite così con il resto dell'impasto e disponete man mano i pancake su un piatto da portata, impilandoli uno sull'altro; con queste dosi otterrete all'incirca 12 pancake. Servite i vostri pancake allo sciroppo d'acero ancora caldi 12 !"
Pasta per la pizza,"['Farina Manitoba', 'Farina', 'Acqua', 'Sale', 'Lievito di birra fresco']",30,4.2,Lievitati,"Per preparare la pasta per la pizza abbiamo scelto di impastare il tutto a mano, ma se preferite utilizzare l’impastatrice potrete seguire lo stesso procedimento, utilizzando il gancio a velocità medio bassa. Come prima cosa versate le due farine in una ciotola 1 , sbriciolate il lievito all'interno 2 e versate un po' della dose di acqua 3 . La temperatura ideale dell'acqua è di 25°.
Mescolate con un mestolo di legno 4 e aggiungete lentamente l'acqua 5 . Continuate sempre a mescolare e quando avrete aggiunto circa metà dell'acqua potrete aggiungere anche il sale 6 .
Unite poi l'acqua rimasta, sempre lentamente, sino ad ottenere un composto omogeneo; aiutatevi con le mani per lavorarlo meglio 7 . Infine trasferite l’impasto sul piano da lavoro e lavoratelo con le mani 8 fino a che non sarà liscio e omogeneo 9 .
Ottenuto un bel panetto liscio, lasciatelo riposare sul piano di lavoro per una decina di minuti coprendolo con la ciotola 10 . Una volta riposato dategli una piccola piega: immaginate che la sfera sia divisa in 4 parti, prendete l’estremità di ognuna, tiratela delicatamente e ripiegatela verso il centro 11 . Date poi una piega all'impasto 12 .
Rigiratelo su se stesso 13 , dategli la forma di una sfera 14 . Trasferite l'impasto così formato in una ciotola, coprite con pellicola trasparente 15 e lasciate lievitare. Per comodità potete mettere la ciotola in forno spento ma con la luce accesa, così l’interno raggiungerà la temperatura di 26-28°, ideale per la lievitazione; in alternativa potete anche tenere la bacinella in un luogo caldo. I tempi sono approssimativi poiché ogni impasto, la temperatura e le condizioni metereologiche influenzano la lievitazione: mediamente l’impasto dovrebbe impiegare 6 ore a raddoppiare di volume.
Trascorso il tempo della lievitazione, l'impasto sarà bello gonfio 16 , quindi trasferitelo sul piano da lavoro e dividetelo con un tarocco in 3 pezzi da 265 g 17 . Se dovesse servirvi, potete infarinare leggermente il piano di lavoro. Ora prendete ciascuna porzione e come fatto prima sollevate un lembo di pasta 18 e portatelo verso l'interno.
Rifate poi la stessa cosa per gli altri 3 lembi di pasta 19 . Allungate quindi l'impasto piegandolo su se stesso 20 e procedete con la pirlatura: pirlare l'impasto significa farlo girare con le mani sul ripiano di lavoro portandolo verso di voi e poi allontanandolo ripetutamente fino ad ottenere una sfera liscia e regolare 21 .
Trasferite man mano i panetti in una cassetta per pizza precedentemente unta 22 , coprite con il coperchio 23 e lasciateli riposare per altri 30 minuti 24 , prima di poter tirare l’impasto per la pizza e condirlo a vostro piacimento!"
Spaghetti alla Carbonara,"['Spaghetti', 'Guanciale', 'Tuorli', 'Pecorino romano', 'Pepe nero']",25,4.2,Primi piatti,"Per preparare gli spaghetti alla carbonara cominciate mettendo sul fuoco una pentola con l’acqua salata per cuocere la pasta. Nel frattempo eliminate la cotenna dal guanciale e tagliatelo prima a fette 1 e poi a striscioline spesse circa 1cm 2 3 . La cotenna avanzata potrà essere riutilizzata per insaporire altre preparazioni.
Versate i pezzetti di guanciale in una padella antiaderente 4 e rosolate per circa 10 minuti a fiamma medio alta, fate attenzione a non bruciarlo altrimenti rilascerà un aroma troppo forte. Nel frattempo tuffate gli spaghetti nell’acqua bollente 5 e cuoceteli al dente. Intanto versate i tuorli in una ciotola 6 .
Aggiungete il Pecorino 7 e insaporite con il pepe nero 8 . Amalgamate il tutto con una frusta a mano 9 , sino ad ottenere una crema liscia.
Intanto il guanciale sarà giunto a cottura 10 ; spegnete il fuoco e utilizzando un mestolo prelevatelo dalla padella, lasciando il fondo di cottura all'interno della padella stessa 11 . Trasferite il guanciale in una ciotolina e tenetelo da parte. Versate una mestolata d’acqua della pasta in padella 12 , insieme al grasso del guanciale.
Scolate la pasta al dente direttamente nel tegame con il fondo di cottura 13 . Saltatela brevemente per insaporirla 14 . Togliete dal fuoco e versate il composto di uova e Pecorino nel tegame. Mescolate velocemente per amalgamare 15 .
Per renderla ben cremosa, al bisogno, potete aggiungere poca acqua di cottura della pasta. Aggiungete il guanciale 16 , mescolate un'ultima volta 17 e servite subito gli spaghetti alla carbonara aggiungendo ancora del pecorino in superficie e un pizzico di pepe nero 18 ."
Tortino di cioccolato con cuore fondente,"['Cioccolato fondente', 'Burro', 'Uova', 'Zucchero', 'Farina', 'Burro', 'Farina', 'Zucchero a velo']",35,4.4,Dolci,"Per realizzare il tortino di cioccolato con cuore fondente per prima cosa sciogliete il cioccolato a bagnomaria insieme al burro, mescolando continuamente 1 . Una volta sciolto, lasciatelo raffreddare fino alla temperatura di 30° 2 . Se non avete un termometro potete lasciarlo a temperatura ambiente per circa 20-25 minuti. Nel frattempo imburrate e infarinate 4 stampini di alluminio 3 .
Quando avrà raggiunto i 30°, trasferite il composto di burro e cioccolato in un mixer con lame di acciaio 4 . Mentre il mixer è in funzione unite lo zucchero all’interno 5 e aspettate che sia ben amalgamato, poi versate a filo le uova sbattute 6 .
Quando anche le uova saranno state assorbite aggiungete la farina 7 e continuate a frullare per ottenere un composto liscio e omogeneo 8 . Riempite gli stampini con 70 g di composto l’uno, aiutandovi con un sac-à-poche o un cucchiaio 9 ; il composto dovrà arrivare a circa due terzi dello stampino.
Mettete gli stampini in congelatore per almeno 6 ore, meglio se per una notte intera 10 . Quando i tortini saranno congelati, disponeteli in una teglia 11 e cuocete in forno ventilato preriscaldato a 190° per 14-15 minuti, sul ripiano medio 12 .
Trascorso il tempo di cottura, sformateli delicatamente capovolgendo gli stampini sul piatto 13 , poi spolverizzate con zucchero a velo 14 e servite subito il vostro tortino di cioccolato con cuore fondente 15 !"
Lasagne alla Bolognese,"['Semola dirano duro rimacinata', 'Farina', 'Spinaci', 'Uova', 'Tuorli', 'Carne bovina', 'Pancetta', 'Carote', 'Sedano', 'Cipolle dorate', 'Vino rosso', 'Passata di pomodoro', 'Brodo vegetale', ""Olio  d'oliva"", 'Sale', 'Pepe nero', 'Burro', 'Farina', 'Latte intero', 'Sale', 'Noce moscata', 'Burro', 'Parmigiano Reggiano']",300,4.2,Primi piatti,"Per preparare le lasagne alla bolognese, iniziate dal ragù. Preparate il brodo vegetale che dovrete tenere in caldo. Poi prendete la pancetta, tagliatela prima a striscioline 1 . Con un coltello o una mezzaluna sminuzzatela per bene 2 . A parte preparate un trito fine con carote, cipolle, sedano e tenetelo da parte 3 .
In una casseruola versate un filo d'olio e la pancetta. Sgranatela bene con un mestolo 4 e lasciatela rosolare per alcuni minuti. Aggiungete poi il trito di verdure 5 e fate insaporire per 5-6 minuti 5 . Aggiungete poi la carne macinata 6 . Mescolate e alzate la fiamma. Lasciate rosolare la carne senza fretta, dovrà essere ben rosolata per sigillare i succhi e risultare morbida non stopposa.
Sfumate con il vino rosso 7 , poi aspettate che sia completamente evaporato e aggiungete la passata di pomodoro 8 . Mescolate, il ragù deve cuocere due ore. Quando ha ripreso il bollore potete aggiungete poco brodo caldo, uno o due mestoli 9 . Poi fate andare il ragù per un paio d'ore almeno.
Dovrete cuocere con il coperchio, senza chiudere del tutto 10 . Controllate e mescolate di tanto in tanto, al bisogno aggiungete altro brodo e lasciate cuocere per il tempo indicato. Passate adesso alla pasta. Come prima cosa versate gli spinaci in un tegame 11 , aggiungete poca acqua, coprite con un coperchio 12
e lasciate cuocere fino a che non saranno appassiti, in totale ci vorranno 5-6 minuti 13 . A questo punto scolateli, lasciateli intiepidire e strizzateli bene 14 . Trasferiteli in un mixer 15
e frullateli fino ad ottenere una purea 16 . Dovrete ricavarne 100 g. Adesso su una spianatoia versate la semola e la farina 00 17 , aggiungete gli spinaci e create una forma a fontana. Unite le uova leggermente sbattute 18
e i tuorli, sempre sbattuti 19 . Iniziate ad impastare il tutto partendo dal centro 20 , in questo modo le uova non scivoleranno fuori dalla fontana. Impastate bene fino ad ottenere un panetto omogeneo 21 .
Avvolgetelo nella pellicola 22 e lasciate riposare per 30 minuti a temperatura ambiente. Nel frattempo preparate la besciamella, ricordandovi sempre di controllare il ragù. In un pentolino mettete a scaldare il latte 23 , senza farlo bollire. In un altro tegame versate il burro 24 e lasciatelo fondere.
Aggiungete la farina in una volta sola 25 e cuocete per pochi minuti fino ad ottenere un roux dorato 26 . Versate quindi il latte caldo in 3 volte 27 , mescolando bene.
Aggiungete il sale e aromatizzate con la noce moscata 28 . Continuate a mescolare fino ad ottenere una besciamella cremosa 29 . Trasferite in una ciotolina, coprite con pellicola a contatto e tenete da parte. Non appena saranno trascorsi i 30 minuti riprendete il panetto di pasta e prelevatene un pezzo 30 . Coprite la pasta restante con la pellicola per non farla seccare.
Aiutandovi con un po' di semola appiattitelo leggermente sulla spianatoia in modo da formare un rettangolo e stendete la pasta nella macchina. Iniziate da uno spessore più largo, poi ripiegate la passa su se stessa e ripassatela. Quando sentite che è troppo umida spolverizzate con un po' di semola. Riducete man mano lo spessore fino ad ottenere una sfoglia spessa poco più di mezzo mm. Trasferitela su una spianatoia e tagliate dei rettangoli grandi 30x20 cm 32 . Proseguite in questo modo fino a terminare l'impasto e nel frattempo mettete sul fuoco una pentola colma d'acqua e salatela. Quando inizierà a bollire mmergete una sfoglia alla volta 33 ,
aspettate 30-40 secondi e aiutandovi con una schiumarola scolatela 34 . Trasferitela su un vassoio con un canovaccio 35 e tamponate per togliere l'acqua in eccesso. Proseguite in questo modo affiancando le sfoglie cotte, senza sovrapporle. Non appena anche il ragù sarà pronto 36 aggiustate di sale e pepe e procedete alla composizione delle lasagne.
Prendete una teglia da lasagna grande 30x20 cm e imburrate il fondo 37 . Aggiungete uno strato sottile di besciamella e uno di ragù 38 . Posizionate quindi la prima sfoglia 39 ,
aggiungete uno strato di besciamella e uno di ragù 40 . Aggiungete il parmigiano grattugiato 41 e posizionate sopra un'altra sfoglia di pasta 42 .
Aggiungete ancora uno strato di besciamella e uno di ragù 43 , unite il formaggio grattugiato 44 e proseguite così fino a realizzare 5 strati. Dopo aver posizionato l'ultima sfoglia aggiungete il ragù 45
in modo da coprire interamente la pasta 46 . Spolverizzate con il formaggio grattugiato, aggiungete dei ciuffetti di burro 47 e cuocete in forno statico preriscaldato a 170° per 40 minuti. Le lasagne alla bolognese sono pronte per essere servite. 48 ."
Torta tenerina,"['Cioccolato fondente', 'Burro', 'Uova medie', 'Zucchero', 'Farina', 'Zucchero a velo']",45,4.4,Dolci,"Per preparare la torta tenerina iniziate a tritare finemente il cioccolato 1 , poi trasferitelo in una bastardella posta in un tegame con acqua (possibilmente l'acqua non dovrebbe venire a contatto con il fondo della bastardella o pentolino in cui avete versato il cioccolato) e scioglietelo a bagnomaria, mescolando di continuo 2 . Solo quando il cioccolato sarà già sciolto, ma non eccessivamente caldo unite il burro a pezzetti 3 .
Lasciate sciogliere anche questo continuando a mescolare 4 . Poiché l’esatta temperatura di fusione del cioccolato è intorno ai 50°, il burro va aggiunto solo quando il cioccolato è sciolto, facendo in modo che non superi il suo punto di fusione (che è di circa 32°), ed evitando quindi che si separi. Lasciate intiepidire il composto di cioccolato e burro, mescolandolo di tanto in tanto, e nel frattempo separate i tuorli dagli albumi in due ciotole differenti e capienti. A questo punto aggiungete a questi ultimi metà dello zucchero 5 e montateli fino ad ottenere un composto fermo e spumoso 6 .
Tenete da parte gli albumi montati a neve e versate nei tuorli la parte restante di zucchero 7 , poi montate il tutto a velocità moderata fino ad ottenere un composto chiaro e spumoso 8 . A questo punto con le fruste ancora in azione versate a filo il composto di cioccolato e burro ormai tiepido 9 .
Continuate a sbattere fino a che non otterrete un composto uniforme 10 . Aggiungete a questo punto gli albumi montati a neve in più riprese: aggiungete inizialmente circa 1/3 degli albumi 11 mescolando con una spatola 12 o con una frusta.
Incorporate poi gli albumi restanti questa volta mescolando delicatamente dal basso verso l'alto 13 . Unite la farina, precedentemente setacciata 14 e mescolate sempre con una spatola facendo dei movimenti delicati dal basso verso l'alto 15 .
Dovrete ottenere un composto liscio ed uniforme 16 . A questo punto imburrate e infarinate uno stampo a cerniera da 24-26 cm (così sarà più facile sformare la torta tenerina) e versate al suo interno l'impasto appena preparato (17-18). Cuocete in forno statico preriscaldato a 180° per 25 minuti (si sconsiglia l'utilizzo del forno ventilato che potrebbe cuocere troppo l'esterno della torta e troppo poco la parte interna).
Una volta sfornata 19 lasciate raffreddare la vostra torta tenerina prima di sformarla. Decorate con zucchero a velo 20 e servite 21 ."
Crema pasticcera,"['Latte intero', 'Zucchero', 'Tuorli', 'Amido di riso', 'Baccello di vaniglia', 'Scorza di limone']",23,4.2,Dolci,"Per preparare la crema pasticcera come prima cosa inserite in freezer una ciotola di vetro. A questo punto ricavate i semi dalla vaniglia 1 e tagliate i baccelli in pezzi 2 . Versate il latte in un tegame e aggiungete sia i semi 3 che i baccelli della vaniglia.
Ricavate dal limone la scorza, prelevando solo la parte gialla, e unitela nel tegame 4 . Accendete il fuoco e scaldate il tutto portando a bollore e mescolando di tanto in tanto. In un altro tegame versate i tuorli, lo zucchero e l'amido di riso 5 . Utilizzando un frustino morbido mescolate per ottenere una consistenza cremosa e liscia 6 .
Non appena il latte sfiorerà il bollore, trasferitelo all'interno dei tuorli in 3 volte filtrandolo con un colino 7 e mescolando sempre con la frusta 8 . Trasferite di nuovo sul fuoco e mescolate in continuazione fino a che non si sarà addensata 9 .
Per raffreddarla velocemente riprendete la ciotola dal freezer e versate la crema all'interno 10 . Mescolate con una frusta molto velocemente, fino a che non avrete portato la crema a 50°, al di sotto del punto di cottura. Dovrete ottenere una crema liscia e molto lucida 11 . A questo punto la crema pasticcera è pronta 12 , potrete utilizzarla o conservarla in frigorifero coprendola con pellicola."
New York Cheesecake,"['Biscotti Digestive', 'Burro', 'Sale', 'Formaggio fresco spalmabile', 'Panna acida', 'Zucchero', 'Uova', 'Amido di mais', 'Estratto di vaniglia  ni', 'Scorza di limone', 'Succo di limone', 'More', 'Mirtilli', 'Lamponi', 'Zucchero', 'Amido di mais', 'Acqua', 'Frutti di bosco', 'Menta']",150,4.2,Dolci,"Per realizzare la cheesecake iniziate dalla base: fate sciogliere il burro in un pentolino e lasciate intiepidire. Versate i biscotti in un mixer 1 e frullate per tritarli finemente, mentre aggiungete il burro fuso 2 e un pizzico di sale. Dovrete ottenere un composto dalla consistenza simile alla sabbia bagnata 3 .
Imburrate e foderate con carta forno uno stampo a cerniera del diametro di 24 cm, ricoprendo sia la base che i bordi. Trasferite il composto di biscotti nello stampo 4 e pressate bene per compattarlo, aiutandovi col fondo di un bicchiere 5 . Cuocete la base di biscotti in forno statico preriscaldato a 180° per circa 10 minuti, poi sfornate e lasciate raffreddare completamente 6 .
Abbassate la temperatura del forno a 150° e passate alla preparazione della crema. Versate il formaggio in una ciotola capiente e ammorbiditelo con una marisa 7 , poi aggiungete lo zucchero 8 e mescolate per amalgamarlo. Unite anche la panna acida 9 e mescolate ancora.
Sbattete le uova in una ciotola a parte e versatele nella ciotola poco alla volta 10 , mescolando per incorporarle in modo omogeneo. Aromatizzate il composto con l’estratto di vaniglia 11 e la scorza grattugiata del limone 12 .
Unite anche il succo di limone 13 e mescolate bene. Infine setacciate l’amido di mais nella ciotola 14 e amalgamate il tutto. Sbattete la ciotola sul piano di lavoro un paio di volte per eliminare le bolle d'aria, poi versate la crema di formaggio sulla base di biscotti ormai intiepidita 15 .
Livellate poco la superficie 16 , sbattete un'altra volta lo stampo sul piano di lavoro e cuocete nel forno statico a 150° per circa 70-80 minuti, posizionando alla base del forno un pentolino riempito con acqua calda per creare la giusta umidità 17 . Una volta cotta, la cheesecake risulterà ancora leggermente traballante al centro. Spegnete il forno e lasciatela raffreddare completamente all'interno. Quando si sarà raffreddata 18 , trasferite la cheesecake in frigorifero e lasciate rassodare per almeno 4 ore, o meglio per tutta la notte.
Trascorso il tempo di rassodamento, dedicatevi alla decorazione: versate le more, i mirtilli e i lamponi in un pentolino 19 insieme allo zucchero 20 . Schiacciate con una forchetta 21 , portate a bollore e cuocete per circa 5 minuti, mescolando spesso.
Nel frattempo diluite l’amido di mais con l’acqua 22 . Versate il composto poco per volta nel pentolino, così da raggiungere la consistenza desiderata 23 ; la salsa deve risultare fluida e bella lucida 24 .
A questo punto potete sformare delicatamente la cheesecake e trasferirla su un piatto da portata 25 . Servite la vostra bellissima cheesecake guarnita con la salsa ai frutti di bosco 26 e qualche fogliolina di menta 27 !"
Crepe dolci e salate (ricetta base),"['Uova', 'Farina', 'Latte intero', 'Burro', 'Burro']",25,4.1,Dolci,"Per preparare le crepe dolci e salate iniziate sciogliendo dolcemente il burro in un pentolino 1 . Lasciatelo intiepidire e nel frattempo rompete le uova in una ciotola dai bordi alti. Mescolate con una frusta e unite il latte 2 . Continuate a mescolare sino ad ottenere un composto omogeneo 3 .
Aggiungete ora il burro tiepido 4 e mescolate ancora 5 . Posizionate un colino sul recipiente e poi setacciate la farina nella ciotola 6 , (per comodità potete anche aggiungerla in due tempi e mescolare così da evitare la formazione di grumi).
Poi con le fruste mescolate energicamente per assorbire la farina 7 . Continuate a mescolare fino ad ottenere un composto omogeneo, vellutato e privo di grumi 8 . A questo punto coprite la ciotola con della pellicola alimentare 9 e lasciate riposare per almeno 30 minuti in frigorifero.
Trascorso il tempo mescolate l’impasto per farlo rinvenire e poi scaldate una crepiera da 18 cm (o in alternativa una padella antiaderente sempre della stessa base) ed ungetela con una noce di burro 10 . Una volta a temperatura versate un mestolo di impasto sufficiente a ricoprire la superficie della padella 11 : potete aiutarvi con l'apposito stendi pastella per crepe oppure ruotare la padella fino a distribuire il composto uniformemente (fate attenzione a non spanderlo tutto sui bordi per evitare che al centro non rimanga pastella sufficiente a creare una crepe dalla superficie uniforme); si consiglia di eseguire queste operazioni molto in fretta, poiché la pastella cuocerà rapidamente 12 .
Trascorso circa 1 minuto a fuoco medio-basso, dovreste notare una leggera doratura, i bordi tenderanno a staccarsi 13 perciò potrete girare la prima crepe aiutandovi con una paletta 14 . Cuocete anche l'altro lato per 1 minuto circa, aspettando che prenda colore. Una volta cotta la prima, trasferitela su un piatto da portata o su di un tagliere. Ripetete questa operazione fino a finire l’impasto, ungendo di volta in volta la crepiera, dovreste ottenere così 14 crepe del diametro di 18 cm: impilate ogni crepe una sopra l’altra così resteranno morbide. Ecco pronte le vostre crepe dolci e salate, non vi resta che farcirle 15 !"
